, lat, lon,Data Type
342,52.459988600170625,9.672499105412609,Ridge ML
343,52.459933972566915,9.672486734397589,Ridge ML
344,52.459879344963014,9.672474363382847,Ridge ML
345,52.459824717359304,9.672461992367829,Ridge ML
346,52.45977008975542,9.672449621353039,Ridge ML
347,52.45971546214648,9.672437250354058,Ridge ML
348,52.45966083454275,9.672424879339085,Ridge ML
349,52.459606206938865,9.672412508324296,Ridge ML
350,52.45955157933334,9.67240013731441,Ridge ML
351,52.45949695172945,9.672387766299668,Ridge ML
352,52.45944232412556,9.67237539528488,Ridge ML
353,52.45938769652184,9.672363024269908,Ridge ML
354,52.45933306892119,9.672350653244491,Ridge ML
355,52.45927844131748,9.672338282229472,Ridge ML
356,52.45922381371358,9.67232591121473,Ridge ML
357,52.459169186107864,9.67231354020512,Ridge ML
358,52.45911455850414,9.672301169190147,Ridge ML
359,52.45905993090351,9.672288798164685,Ridge ML
360,52.45900530329978,9.672276427149713,Ridge ML
361,52.45895067569407,9.672264056140104,Ridge ML
362,52.458896048093415,9.672251685114688,Ridge ML
363,52.45884142048969,9.672239314099714,Ridge ML
364,52.45878679288904,9.672226943074298,Ridge ML
365,52.458732165283315,9.672214572064737,Ridge ML
366,52.45867753768465,9.672202201033956,Ridge ML
367,52.458622910084,9.672189830008541,Ridge ML
368,52.45856828247846,9.672177458998702,Ridge ML
369,52.4585136548778,9.672165087973331,Ridge ML
370,52.458459027277144,9.672152716947915,Ridge ML
371,52.45840439967665,9.672140345922315,Ridge ML
372,52.45834977207094,9.672127974912707,Ridge ML
373,52.45829514447045,9.672115603887107,Ridge ML
374,52.45824051686978,9.672103232861739,Ridge ML
375,52.458185889272364,9.672090861825694,Ridge ML
376,52.45813126167189,9.672078490800049,Ridge ML
377,52.45807663407122,9.672066119774678,Ridge ML
378,52.458022006468916,9.672053748754212,Ridge ML
379,52.45796737886825,9.672041377728842,Ridge ML
380,52.45791275127263,9.672029006687712,Ridge ML
381,52.45785812367032,9.672016635667246,Ridge ML
382,52.457803496072906,9.672004264631203,Ridge ML
383,52.45774886847239,9.67199189360565,Ridge ML
384,52.45769424087498,9.671979522569606,Ridge ML
385,52.45763961327754,9.67196715153361,Ridge ML
386,52.45758498567524,9.671954780513143,Ridge ML
387,52.457530358079616,9.671942409472013,Ridge ML
388,52.45747573048236,9.671930038435786,Ridge ML
389,52.45742110288492,9.67191766739979,Ridge ML
390,52.457366475285674,9.671905296368926,Ridge ML
391,52.457311847688416,9.671892925332699,Ridge ML
392,52.45725722009605,9.671880554280895,Ridge ML
393,52.45720259249877,9.671868183244715,Ridge ML
394,52.45714796489952,9.67185581221385,Ridge ML
395,52.457093337307136,9.671843441162094,Ridge ML
396,52.457038709713125,9.671831070115193,Ridge ML
397,52.456984082115675,9.671818699079243,Ridge ML
398,52.45692945452165,9.671806328032389,Ridge ML
399,52.45687482692745,9.671793956985764,Ridge ML
400,52.456820199333244,9.67178158593914,Ridge ML
401,52.456765571739204,9.671769214892333,Ridge ML
402,52.456710944145,9.671756843845708,Ridge ML
403,52.45665631655602,9.671744472783093,Ridge ML
404,52.45660168896182,9.67173210173647,Ridge ML
405,52.45654706137085,9.671719730679218,Ridge ML
406,52.45649243378187,9.671707359616603,Ridge ML
407,52.45643780618584,9.67169498857516,Ridge ML
408,52.456383178596845,9.671682617512591,Ridge ML
409,52.456328551010934,9.671670246439533,Ridge ML
410,52.45627392341995,9.671657875382328,Ridge ML
411,52.45621929582916,9.671645504324847,Ridge ML
412,52.45616466824323,9.671633133251834,Ridge ML
413,52.456110040652234,9.671620762194676,Ridge ML
414,52.456055413064675,9.671608391126568,Ridge ML
415,52.45600078547875,9.671596020053556,Ridge ML
416,52.455946157896236,9.671583648969687,Ridge ML
417,52.455891530308485,9.671571277901855,Ridge ML
418,52.45583690272761,9.671558906813083,Ridge ML
419,52.455782275138205,9.6715465357502,Ridge ML
420,52.45572764755551,9.67153416466656,Ridge ML
421,52.455673019972984,9.671521793582738,Ridge ML
422,52.455618392393525,9.671509422488471,Ridge ML
423,52.45556376481082,9.671497051404879,Ridge ML
424,52.45550913723152,9.67148468031043,Ridge ML
425,52.45545450965205,9.67147230921621,Ridge ML
426,52.455399882070935,9.671459938126892,Ridge ML
427,52.45534525449653,9.671447567016866,Ridge ML
428,52.45529062692029,9.671435195912018,Ridge ML
429,52.45523599934422,9.67142282480694,Ridge ML
430,52.455181371767964,9.67141045370214,Ridge ML
431,52.45512674419696,9.671398082581256,Ridge ML
432,52.455072116620705,9.671385711476455,Ridge ML
433,52.45501748905274,9.671373340345221,Ridge ML
434,52.4549628614799,9.671360969229562,Ridge ML
435,52.454908233910125,9.671348598103462,Ridge ML
436,52.45485360634233,9.671336226971995,Ridge ML
437,52.45479897877759,9.671323855830181,Ridge ML
438,52.45474435121287,9.671311484688317,Ridge ML
439,52.45468972364648,9.671299113551406,Ridge ML
440,52.45463509608497,9.671286742398962,Ridge ML
441,52.45458046852869,9.671274371230483,Ridge ML
442,52.45452584096718,9.67126200007804,Ridge ML
443,52.45447121341397,9.671249628899162,Ridge ML
444,52.45441658585909,9.671237257725235,Ridge ML
445,52.454361958305846,9.671224886546451,Ridge ML
446,52.454307330754204,9.671212515361896,Ridge ML
447,52.45425270320926,9.671200144156677,Ridge ML
448,52.45419807566249,9.671187772956591,Ridge ML
449,52.45414344811911,9.671175401745696,Ridge ML
450,52.45408882057881,9.671163030524356,Ridge ML
451,52.45403419304048,9.671150659297698,Ridge ML
452,52.453979565508455,9.67113828804997,Ridge ML
453,52.4539249379764,9.671125916802337,Ridge ML
454,52.45387031044777,9.671113545543799,Ridge ML
455,52.45381568292725,9.671101174259102,Ridge ML
456,52.45376105540507,9.671088802979355,Ridge ML
457,52.45370642789282,9.67107643166827,Ridge ML
458,52.45365180038198,9.671064060351739,Ridge ML
459,52.45359717287454,9.67105168902435,Ridge ML
460,52.453542545377005,9.671039317665718,Ridge ML
461,52.45348791788413,9.671026946290917,Ridge ML
462,52.45343329040152,9.67101457488441,Ridge ML
463,52.453378662925196,9.67100220345688,Ridge ML
464,52.45332403545551,9.670989832007864,Ridge ML
465,52.45326940799715,9.670977460522112,Ridge ML
466,52.45321478054523,9.67096508901515,Ridge ML
467,52.453160153108236,9.670952717460317,Ridge ML
468,52.453105525687626,9.670940345852937,Ridge ML
